,Word,Pinyin,Level,First Translation,Other Translations,Duplicate Pinyin
36,零,líng,1,zero,"nought, zero sign, fractional, fragmentary, odd (of numbers), (placed between two numbers to indicate a smaller quantity followed by a larger one), fraction, (in mathematics) remainder (after division), extra, to wither and fall, to wither",Duplicate Pinyin
37,兩,liǎng,1,two,"both, some, a few, tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old)",Duplicate Pinyin
38,時候,shíhòu,1,time,"length of time, moment, period",
39,百,bǎi,1,hundred,"numerous, all kinds of, surname Bai",Duplicate Pinyin
40,半,bàn,1,half,"semi-, incomplete, (after a number) and a half",Duplicate Pinyin
41,爸爸,bàba,1,(informal) father,"CL:個|个[ge4],位[wei4]",
42,媽媽,māma,1,mama,"mommy, mother, CL:個|个[ge4],位[wei4]",
43,哥哥,gēge,1,older brother,"CL:個|个[ge4],位[wei4]",
44,弟弟,dìdi,1,younger brother,"CL:個|个[ge4],位[wei4]",
45,姊姊,jiějie,1,older sister,Taiwan pr. [jie3 jie5],
46,妹妹,mèimei,1,younger sister,"young woman, CL:個|个[ge4]",
47,的,de,1,of,"~'s (possessive particle), (used after an attribute), (used to form a nominal expression), (used at the end of a declarative sentence for emphasis), really and truly, aim, clear, see 的士[di1 shi4]",
48,第,dì,1,"(prefix indicating ordinal number, e.g. first, number two etc)","order, (old) rank in the imperial examinations, mansion, (literary) but, just",Duplicate Pinyin
49,分,fēn,1,to divide,"to separate, to distribute, to allocate, to distinguish (good and bad), part or subdivision, fraction, one tenth (of certain units), unit of length equivalent to 0.33 cm, minute (unit of time), minute (angular measurement unit), a point (in sports or games), 0.01 yuan (unit of money), part, share, ingredient, component",
50,點,diǎn,1,point,"dot, drop, speck, o'clock, point (in space or time), to draw a dot, to check on a list, to choose, to order (food in a restaurant), to touch briefly, to hint, to light, to ignite, to pour a liquid drop by drop, (old) one fifth of a two-hour watch 更[geng1], dot stroke in Chinese characters, classifier for items",
51,個,ge,1,individual,"this, that, size, classifier for people or objects in general",
52,歲,suì,1,classifier for years (of age),"year, year (of crop harvests)",Duplicate Pinyin
53,住,zhù,1,to live,"to dwell, to stay, to reside, to stop, (suffix indicating firmness, steadiness, or coming to a halt)",Duplicate Pinyin
54,來,lái,1,to come,"to arrive, to come round, ever since, next",
55,是,shì,1,(used in given names),variant of 是[shi4],
56,姓,xìng,1,family name,"surname, to be surnamed, CL:個|个[ge4]",
57,覺得,juéde,1,to think,to feel,
58,喜歡,xǐhuān,1,to like,to be fond of,
59,打電話,dǎdiànhuà,1,to make a telephone call,,
60,高興,gāoxìng,1,happy,"glad, willing (to do sth), in a cheerful mood",
61,漂亮,piàoliàng,1,pretty,beautiful,
62,好,hǎo,1,good,"well, proper, good to, easy to, very, so, (suffix indicating completion or readiness), (of two people) close, on intimate terms, (after a personal pronoun) hello, to be fond of, to have a tendency to, to be prone to",
63,很,hěn,1,(adverb of degree),"quite, very, awfully",Duplicate Pinyin
64,真,zhēn,1,really,"truly, indeed, real, true, genuine",
65,電腦,diànnǎo,1,computer,CL:臺|台[tai2],
66,老師,lǎoshī,1,teacher,"CL:個|个[ge4],位[wei4]",
67,買,mǎi,1,to buy,to purchase,
68,忙,máng,1,busy,"hurriedly, to hurry, to rush",
69,學生,xuéshēng,1,student,schoolchild,
70,大學,dàxué,1,"the Great Learning, one of the Four Books 四書|四书[Si4 shu1] in Confucianism","university, college, CL:所[suo3]",
71,學校,xuéxiào,1,school,CL:所[suo3],
72,筆,bǐ,1,pen,"pencil, writing brush, to write or compose, the strokes of Chinese characters, classifier for sums of money, deals, CL:支[zhi1],枝[zhi1]",Duplicate Pinyin
73,問,wèn,1,to ask,,
74,說,shuō,1,to persuade,"to speak, to say, to explain, to scold, to tell off, a theory (typically the last character in a compound, as in 日心說|日心说 heliocentric theory)",
75,寫,xiě,1,to write,,
76,聽,tīng,1,to listen,"to hear, to obey, a can (loanword from English ""tin""), classifier for canned beverages, (literary pronunciation, still advocated in Taiwan) to rule, to sentence, to allow",
77,練習,liànxí,1,to practice,"exercise, drill, practice, CL:個|个[ge4]",
78,能,néng,1,can,"to be able to, might possibly, ability, (physics) energy, surname Neng",
79,可以,kěyǐ,1,can,"may, possible, able to, not bad, pretty good",
80,上課,shàngkè,1,to go to class,"to attend class, to go to teach a class",
81,知道,zhīdào,1,to know,"to become aware of, also pr. [zhi1 dao5]",
82,電視,diànshì,1,television,"TV, CL:臺|台[tai2],個|个[ge4]",
83,水,shuǐ,1,water,"river, liquid, beverage, additional charges or income, (of clothes) classifier for number of washes, surname Shui",
84,再,zài,1,again,"once more, re-, second, another, then (after sth, and not until then), no matter how ... (followed by an adjective or verb, and then (usually) 也[ye3] or 都[dou1] for emphasis)",
85,書,shū,1,book,"letter, document, to write, abbr. for 書經|书经[Shu1 jing1], CL:本[ben3],冊|册[ce4],部[bu4]",Duplicate Pinyin
86,電影,diànyǐng,1,movie,"film, CL:部[bu4],片[pian4],幕[mu4],場|场[chang3]",
87,以前,yǐqián,1,before,"formerly, previous, ago",
88,以後,yǐhòu,1,after,"later, afterwards, following, later on, in the future",
89,走,zǒu,1,to walk,"to go, to run, to move (of vehicle), to visit, to leave, to go away, to die (euph.), from, through, away (in compound verbs, such as 撤走[che4 zou3]), to change (shape, form, meaning)",
90,等,děng,1,class,"rank, grade, equal to, same as, to wait for, to await, et cetera, and so on, et al. (and other authors), after, as soon as, once",
91,看,kàn,1,to look after,"to take care of, to watch, to guard, to see, to look at, to read, to watch, to visit, to call on, to consider, to regard as, to look after, to treat (an illness), to depend on, to feel (that), (after verb) to give it a try, Watch out! (for a danger)",
92,什麼,shénme,1,what?,"something, anything",
93,朋友,péngyǒu,1,friend,"CL:個|个[ge4],位[wei4]",
94,東西,dōngxi,1,east and west,"thing, stuff, person, CL:個|个[ge4],件[jian4]",
95,吧,ba,1,"bar (loanword) (serving drinks, or providing Internet access etc)","to puff (on a pipe etc), (onom.) bang, (modal particle indicating suggestion or surmise), ...right?, ...OK?, ...I presume., (onom.) smack!, abbr. for 貼吧|贴吧[tie1 ba1]",
96,呢,ne,1,"particle indicating that a previously asked question is to be applied to the preceding word (""What about ...?"", ""And ...?"")","particle for inquiring about location (""Where is ...?""), particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board (""ok?"", ""are you with me?""), (at the end of a declarative sentence) particle indicating continuation of a state or action, particle indicating strong affirmation, woolen material",
97,嗎,ma,1,"(question particle for ""yes-no"" questions)","see 嗎啡|吗啡, morphine",Duplicate Pinyin
98,找,zhǎo,1,to try to find,"to look for, to call on sb, to find, to seek, to return, to give change",
99,做,zuò,1,to do,"to make, to produce, to write, to compose, to act as, to engage in, to hold (a party), to be, to become, to function (in some capacity), to serve as, to be used for, to form (a bond or relationship), to pretend, to feign, to act a part, to put on appearance",Duplicate Pinyin
100,再見,zàijiàn,1,goodbye,see you again later,
101,怎麼樣,zěnmeyàng,1,how?,"how about?, how was it?, how are things?",
102,叫,jiào,1,variant of 叫[jiao4],,
103,謝謝,xièxie,1,to thank,"thanks, thank you",
104,對不起,duìbuqǐ,1,unworthy,"to let down, I'm sorry, excuse me, pardon me, if you please, sorry? (please repeat)",
105,請問,qǐngwèn,1,"Excuse me, may I ask...?",,
106,這,zhè,1,this,"these, (commonly pr. [zhei4] before a classifier, esp. in Beijing)",
107,那,nà,1,that,"those, then (in that case), commonly pr. [nei4] before a classifier, esp. in Beijing, beautiful, how, surname Na, surname Nuo, variant of 哪[na3], (archaic) many, old variant of 挪[nuo2]",
108,公共汽車,gōnggòngqìchē,1,bus,"CL:輛|辆[liang4],班[ban1]",
109,到,dào,1,to (a place),"until (a time), up to, to go, to arrive, (verb complement denoting completion or result of an action)",
110,去,qù,1,to go,"to go to (a place), (of a time etc) last, just passed, to send, to remove, to get rid of, to reduce, to be apart from in space or time, to die (euphemism), to play (a part), (when used either before or after a verb) to go in order to do sth, (after a verb of motion indicates movement away from the speaker), (used after certain verbs to indicate detachment or separation)",
111,回,huí,1,variant of 迴|回[hui2],,
112,坐,zuò,1,to sit,"to take a seat, to take (a bus, airplane etc), to bear fruit, surname Zuo, variant of 座[zuo4]",Duplicate Pinyin
113,開車,kāichē,1,to drive a car,,
114,錢,qián,1,coin,"money, unit of weight, one tenth of a tael 兩|两[liang3], surname Qian, CL:筆|笔[bi3]",
115,多少,duōshǎo,1,number,"amount, somewhat, how much, how many, which (number), as much as",
116,給,gěi,1,to,"for, for the benefit of, to give, to allow, to do sth (for sb), (grammatical equivalent of 被), (grammatical equivalent of 把), (sentence intensifier), to supply, to provide",
117,貴,guì,1,expensive,"noble, precious, (honorific) your",Duplicate Pinyin
118,便宜,piányi,1,convenient,"cheap, inexpensive, small advantages, to let sb off lightly",
119,小,xiǎo,1,small,"tiny, few, young",
120,難,nán,1,difficult (to...),"problem, difficulty, difficult, not good, disaster, distress, to scold",Duplicate Pinyin
121,容易,róngyì,1,easy,"likely, liable (to)",
122,有,yǒu,1,to have,"there is, there are, to exist, to be",
123,想,xiǎng,1,to think,"to believe, to suppose, to wish, to want, to miss (feel wistful about the absence of sb or sth)",
124,幾,jǐ,1,almost,"how much, how many, several, a few",Duplicate Pinyin
125,塊,kuài,1,lump (of earth),"chunk, piece, classifier for pieces of cloth, cake, soap etc, (coll.) classifier for money and currency units",
126,飯,fàn,1,food,"cuisine, cooked rice, meal, CL:碗[wan3],頓|顿[dun4]",Duplicate Pinyin
127,吃,chī,1,variant of 吃[chi1],,
128,也,yě,1,also,"too, (in Classical Chinese) final particle implying affirmation, surname Ye",
129,沒,méi,1,(negative prefix for verbs),"have not, not, drowned, to end, to die, to inundate",Duplicate Pinyin
130,都,dōu,1,all,"both, entirely, (used for emphasis) even, already, (not) at all, capital city, metropolis, surname Du",
131,只,zhǐ,1,"classifier for birds and certain animals, one of a pair, some utensils, vessels etc",,Duplicate Pinyin
132,可是,kěshì,1,but,"however, (used for emphasis) indeed",
133,還是,háishì,1,or,"still, nevertheless, had better",
134,了,le,1,(of eyes) bright,"clear-sighted, to understand clearly, to watch from a height or distance, to survey, unofficial variant of 瞭[liao4]",
135,過,guò,1,to cross,"to go over, to pass (time), to celebrate (a holiday), to live, to get along, excessively, too-, (experienced action marker), surname Guo",
136,男,nán,2,male,"Baron, lowest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4], CL:個|个[ge4]",Duplicate Pinyin
137,女,nǚ,2,female,"woman, daughter, archaic variant of 汝[ru3]",
138,孩子,háizi,2,child,,
139,小姐,xiǎojiě,2,young lady,"miss, (slang) prostitute, CL:個|个[ge4],位[wei4]",
140,先生,xiānshēng,2,Mister (Mr.),"teacher, husband, doctor (dialect), CL:位[wei4]",
141,太太,tàitai,2,married woman,"Mrs., Madam, wife, CL:個|个[ge4],位[wei4]",
142,女兒,nǚér,2,daughter,,
143,兒子,érzi,2,son,,
144,大家,dàjiā,2,everyone,"influential family, great expert",
145,路,lù,2,road,"journey, route, line (bus etc), sort, kind, surname Lu, CL:條|条[tiao2]",
146,手機,shǒujī,2,cell phone,"mobile phone, CL:部[bu4],支[zhi1]",
147,號碼,hàomǎ,2,number,"CL:堆[dui1],個|个[ge4]",
148,明年,míngnián,2,next year,,
149,去年,qùnián,2,last year,,
150,生日,shēngrì,2,birthday,CL:個|个[ge4],
151,月,yuè,2,moon,"month, monthly, CL:個|个[ge4],輪|轮[lun2]",Duplicate Pinyin
152,星期,xīngqí,2,week,"day of the week, Sunday, CL:個|个[ge4]",
153,星期天,xīngqítiān,2,Sunday,CL:個|个[ge4],
154,週末,zhōumò,2,weekend,,
155,從,cóng,2,from,"through, via, to follow, to obey, to engage in (an activity), never (in negative sentence), (Taiwan pr. [zong4]) retainer, assistant, auxiliary, subordinate, related by common paternal grandfather or earlier ancestor, surname Cong",
156,笑,xiào,2,laugh,"smile, old variant of 笑[xiao4], CL:個|个[ge4]",
157,愛,ài,2,to love,"to be fond of, to like, affection, to be inclined (to do sth), to tend to (happen)",
158,好看,hǎokàn,2,good-looking,"nice-looking, good (of a movie, book, TV show etc), embarrassed, humiliated",
159,快樂,kuàilè,2,happy,merry,
160,非常,fēicháng,2,very,"very much, unusual, extraordinary",
161,工作,gōngzuò,2,to work,"(of a machine) to operate, job, work, task, CL:個|个[ge4],份[fen4],項|项[xiang4]",
162,醫生,yīshēng,2,doctor,"CL:個|个[ge4],位[wei4],名[ming2]",
163,醫院,yīyuàn,2,hospital,"CL:所[suo3],家[jia1],座[zuo4]",
164,公司,gōngsī,2,(business) company,"company, firm, corporation, incorporated, CL:家[jia1]",
165,賣,mài,2,to sell,"to betray, to spare no effort, to show off or flaunt",Duplicate Pinyin
166,準備,zhǔnbèi,2,preparation,"to prepare, to intend, to be about to, reserve (fund)",
167,一點,yīdiǎn,2,a bit,"a little, one dot, one point",
168,一些,yīxiē,2,some,"a few, a little, (following an adjective) slightly ...er",
169,張,zhāng,2,to open up,"to spread, sheet of paper, classifier for flat objects, sheet, classifier for votes, surname Zhang",
170,中學,zhōngxué,2,middle school,CL:個|个[ge4],
171,年級,niánjí,2,grade,"year (in school, college etc), CL:個|个[ge4]",
172,英文,yīngwén,2,English (language),,
173,紙,zhǐ,2,paper,"classifier for documents, letter etc, CL:張|张[zhang1],沓[da2]",Duplicate Pinyin
174,問題,wèntí,2,question,"problem, issue, topic, CL:個|个[ge4]",
175,意思,yìsi,2,idea,"opinion, meaning, wish, desire, interest, fun, token of appreciation, affection etc, to give as a small token, to do sth as a gesture of goodwill etc, CL:個|个[ge4]",
176,圖書館,túshūguǎn,2,library,"CL:家[jia1],個|个[ge4]",
177,數學,shùxué,2,mathematics,mathematical,
178,歷史,lìshǐ,2,history,"CL:門|门[men2],段[duan4]",
179,餐廳,cāntīng,2,dining hall,"dining room, restaurant, CL:間|间[jian1],家[jia1]",
180,學習,xuéxí,2,to learn,to study,
181,參加,cānjiā,2,to participate,"to take part, to join",
182,畫,huà,2,to draw,"picture, painting, classifier for paintings etc, CL:幅[fu2],張|张[zhang1], variant of 劃|划[hua4]",
183,讀,dú,2,comma,"phrase marked by pause, to read, to study, reading of word (i.e. pronunciation), similar to 拼音[pin1 yin1]",
184,會,huì,2,can,"to be possible, to be able to, will, to be likely to, to be sure to, to assemble, to meet, to gather, to see, union, group, association, a moment (Taiwan pr. for this sense is [hui3]), to balance an account, accountancy, accounting, CL:個|个[ge4]",
185,有趣,yǒuqù,2,interesting,"fascinating, amusing",
186,為什麼,wèishénme,2,why?,for what reason?,
187,下課,xiàkè,2,to finish class,to get out of class,
188,說話,shuōhuà,2,to speak,"to say, to talk, to gossip, to tell stories, talk, word",
189,考試,kǎoshì,2,to take an exam,"exam, CL:次[ci4]",
190,懂,dǒng,2,to understand,to comprehend,
191,天氣,tiānqì,2,weather,,
192,房子,fángzi,2,house,"building (single- or two-story), apartment, room, CL:棟|栋[dong4],幢[zhuang4],座[zuo4],套[tao4],間|间[jian1]",
193,門,mén,2,gate,"door, gateway, doorway, opening, valve, switch, way to do something, knack, family, house, (religious) sect, school (of thought), class, category, phylum or division (taxonomy), classifier for large guns, classifier for lessons, subjects, branches of technology, (suffix) -gate (i.e. scandal; derived from Watergate), surname Men, CL:扇[shan4], CL:個|个[ge4]",
194,山,shān,2,mountain,"hill, anything that resembles a mountain, bundled straw in which silkworms spin cocoons, gable, surname Shan, CL:座[zuo4]",
195,客廳,kètīng,2,drawing room (room for arriving guests),"living room, CL:間|间[jian1]",
196,河,hé,2,river,"CL:條|条[tiao2],道[dao4]",Duplicate Pinyin
197,狗,gǒu,2,dog,"CL:隻|只[zhi1],條|条[tiao2]",
198,花,huā,2,flower,"blossom, also pr. [wei3], variant of 花[hua1]",
199,風,fēng,2,wind,"news, style, custom, manner, CL:陣|阵[zhen4],絲|丝[si1]",Duplicate Pinyin
200,海,hǎi,2,ocean,"sea, great number of people or things, (dialect) numerous, surname Hai, CL:個|个[ge4],片[pian4]",
201,魚,yú,2,fish,"surname Yu, CL:條|条[tiao2],尾[wei3]",Duplicate Pinyin
202,樹,shù,2,tree,"to cultivate, to set up, CL:棵[ke1]",
203,冷,lěng,2,cold,surname Leng,
204,熱,rè,2,to warm up,"to heat up, hot (of weather), heat, fervent",
205,洗澡,xǐzǎo,2,to bathe,to take a shower,
206,咖啡,kāfēi,2,coffee (loanword),CL:杯[bei1],
207,茶,chá,2,tea,"tea plant, CL:杯[bei1],壺|壶[hu2]",
208,生活,shēnghuó,2,life,"activity, to live, livelihood",
209,用,yòng,2,to use,"to employ, to have to, to eat or drink, expense or outlay, usefulness, hence, therefore",
210,穿,chuān,2,to wear,"to put on, to dress, to bore through, to pierce, to perforate, to penetrate, to pass through, to thread",
211,起床,qǐchuáng,2,to get out of bed,to get up,
212,方便,fāngbiàn,2,convenient,"suitable, to facilitate, to make things easy, having money to spare, (euphemism) to relieve oneself",
213,睡覺,shuìjiào,2,to go to bed,to sleep,
214,常常,chángcháng,2,frequently,often,
215,每,měi,2,each,every,
216,次,cì,2,next in sequence,"second, the second (day, time etc), secondary, vice-, sub-, infra-, inferior quality, substandard, order, sequence, hypo- (chemistry), classifier for enumerated events: time",
217,音樂,yīnyuè,2,music,"CL:張|张[zhang1],曲[qu3],段[duan4]",
218,票,piào,2,ticket,"ballot, banknote, person held for ransom, amateur performance of Chinese opera, classifier for groups, batches, business transactions, CL:張|张[zhang1]",
219,照片,zhàopiàn,2,photograph,"picture, CL:張|张[zhang1],套[tao4],幅[fu2]",
220,玩,wán,2,Taiwan pr. [wan4],variant of 玩[wan2],Duplicate Pinyin
221,跑,pǎo,2,(of an animal) to paw (the ground),"to run, to run away, to escape, to run around (on errands etc), (of a gas or liquid) to leak or evaporate, (verb complement) away, off",
222,運動,yùndòng,2,to move,"to exercise, sports, exercise, motion, movement, campaign, CL:場|场[chang3]",
223,開始,kāishǐ,2,to begin,"beginning, to start, initial, CL:個|个[ge4]",
224,走路,zǒulù,2,to walk,to go on foot,
225,唱歌,chànggē,2,to sing a song,,
226,信,xìn,2,letter,"mail, to trust, to believe, to profess faith in, truthful, confidence, trust, at will, at random, CL:封[feng1]",
227,喂,wéi,2,to feed,,
228,介紹,jièshào,2,to introduce (sb to sb),"to give a presentation, to present (sb for a job etc), introduction",
229,換,huàn,2,to exchange,"to change (clothes etc), to substitute, to switch, to convert (currency)",Duplicate Pinyin
230,認識,rènshi,2,to know,"to recognize, to be familiar with, to get acquainted with sb, knowledge, understanding, awareness, cognition",
231,沒關係,méiguānxi,2,it doesn't matter,,
232,怎麼,zěnme,2,how?,"what?, why?",
233,哪,nǎ,2,how,"which, (particle equivalent to 啊 after noun ending in -n), which? (interrogative, followed by classifier or numeral-classifier)",
234,哪裡,nǎlǐ,2,where?,"somewhere, anywhere, wherever, nowhere (negative answer to question), humble expression denying compliment",
235,這裡,zhèlǐ,2,here,,Duplicate Pinyin
236,那裡,nàlǐ,2,there,that place,
237,外,wài,2,outside,"in addition, foreign, external",
238,右邊,yòubiān,2,right side,"right, to the right",
239,左邊,zuǒbiān,2,left,"the left side, to the left of",
240,旁邊,pángbiān,2,lateral,"side, to the side, beside",
241,中間,zhōngjiān,2,between,"intermediate, mid, middle",
242,地鐵,dìtiě,2,subway,metro,
243,地方,dìfāng,2,region,"regional (away from the central administration), local, area, place, space, room, territory, CL:處|处[chu4],個|个[ge4],塊|块[kuai4]",
244,附近,fùjìn,2,(in the) vicinity,"nearby, neighboring, next to",
245,離,lí,2,to leave,"to part from, to be away from, (in giving distances) from, without (sth), independent of, one of the Eight Trigrams 八卦[ba1 gua4], symbolizing fire, ☲, surname Li",Duplicate Pinyin
246,往,wǎng,2,old variant of 往[wang3],,
247,送,sòng,2,to deliver,"to carry, to give (as a present), to present (with), to see off, to send",
248,帶,dài,2,band,"belt, girdle, ribbon, tire, area, zone, region, to wear, to carry, to take along, to bear (i.e. to have), to lead, to bring, to look after, to raise, CL:條|条[tiao2]",Duplicate Pinyin
249,放,fàng,2,to put,"to place, to release, to free, to let go, to let out, to set off (fireworks)",
250,拿,ná,2,to hold,"to seize, to catch, to apprehend, to take, (used in the same way as 把[ba3]: to mark the following noun as a direct object), variant of 拿[na2]",
251,進來,jìnlái,2,to come in,,Duplicate Pinyin
252,出去,chūqù,2,to go out,,
253,站,zhàn,2,station,"to stand, to halt, to stop, branch of a company or organization, website",Duplicate Pinyin
254,慢,màn,2,slow,,
255,遠,yuǎn,2,far,"distant, remote, (intensifier in a comparison) by far, much (lower etc), to distance oneself from (classical)",
256,身體,shēntǐ,2,the body,"one's health, in person, CL:具[ju4],個|个[ge4]",
257,眼睛,yǎnjīng,2,eye,"CL:隻|只[zhi1],雙|双[shuang1]",
258,藥,yào,2,medicine,"drug, substance used for a specific purpose (e.g. poisoning, explosion, fermenting), to poison, CL:種|种[zhong3],服[fu4],味[wei4]",Duplicate Pinyin
259,累,lèi,2,rope,"to bind together, to twist around, surname Lei",Duplicate Pinyin
260,雙,shuāng,2,two,"double, pair, both, even (number), surname Shuang",Duplicate Pinyin
261,元,yuán,2,the Yuan or Mongol dynasty (1279-1368),"currency unit (esp. Chinese yuan), first, original, primary, fundamental, constituent, part, era (of a reign), meta- (prefix), (math.) argument, variable, (Tw) (geology) eon, surname Yuan",Duplicate Pinyin
262,鞋子,xiézi,2,shoe,,
263,褲子,kùzi,2,trousers,"pants, CL:條|条[tiao2]",
264,市場,shìchǎng,2,marketplace,market (also in abstract),
265,衣服,yīfu,2,clothes,"CL:件[jian4],套[tao4]",
266,比,bǐ,2,Belgium,"Belgian, (particle used for comparison and ""-er than""), to compare, to contrast, to gesture (with hands), ratio, to associate with, to be near, abbr. for 比利時|比利时[Bi3 li4 shi2], euphemistic variant of 屄[bi1]",Duplicate Pinyin
267,要,yào,2,to demand,"to request, to coerce, important, vital, to want, to ask for, will, going to (as future auxiliary), may, must, (used in a comparison) must be, probably, if",Duplicate Pinyin
268,長,cháng,2,length,"long, forever, always, constantly, chief, head, elder, to grow, to develop, to increase, to enhance",Duplicate Pinyin
269,新,xīn,2,new,"newly, meso- (chemistry), abbr. for Xinjiang 新疆[Xin1 jiang1] or Singapore 新加坡[Xin1 jia1 po1], surname Xin",
270,一樣,yīyàng,2,same,"like, equal to, the same as, just like",
271,好吃,hǎochī,2,tasty,"delicious, to be fond of eating, to be gluttonous",
272,件,jiàn,2,item,"component, classifier for events, things, clothes etc",Duplicate Pinyin
273,杯,bēi,2,trophy cup,"classifier for certain containers of liquids: glass, cup, variant of 杯[bei1]",Duplicate Pinyin
274,瓶,píng,2,variant of 瓶[ping2],,Duplicate Pinyin
275,菜,cài,2,dish (type of food),"vegetable, cuisine, (coll.) (one's) type, (of one's skills etc) weak, poor, CL:盤|盘[pan2],道[dao4]",
276,蘋果,píngguǒ,2,apple,"CL:個|个[ge4],顆|颗[ke1]",
277,肉,ròu,2,meat,"flesh, pulp (of a fruit), (coll.) (of a fruit) squashy, (of a person) flabby, irresolute",
278,酒,jiǔ,2,wine (esp. rice wine),"liquor, spirits, alcoholic beverage, CL:杯[bei1],瓶[ping2],罐[guan4],桶[tong3],缸[gang1]",Duplicate Pinyin
279,喝,hē,2,to drink,"My goodness!, to shout loudly",
280,一起,yīqǐ,2,in the same place,"together, with, altogether (in total)",
281,因為,yīnwèi,2,because,"owing to, on account of",
282,和,hé,2,harmonious,old variant of 和[he2],Duplicate Pinyin
283,所以,suǒyǐ,2,therefore,"as a result, so, the reason why",
284,跟,gēn,2,heel,"to follow closely, to go with, (of a woman) to marry sb, with, compared with, to, towards, and (joining two nouns)",Duplicate Pinyin
285,著,zhe,2,(chess) move,"trick, all right!, (dialect) to add, to touch, to come in contact with, to feel, to be affected by, to catch fire, to burn, (coll.) to fall asleep, (after a verb) hitting the mark, succeeding in, aspect particle indicating action in progress, to wear (clothes), to contact, to use, to apply, to make known, to show, to prove, to write, book, outstanding",
286,可能,kěnéng,2,might (happen),"possible, probable, possibility, probability, maybe, perhaps, CL:個|个[ge4]",
287,姓名,xìngmíng,3,name and surname,CL:個|个[ge4],
288,公園,gōngyuán,3,park (for public recreation),"CL:個|个[ge4],座[zuo4]",Duplicate Pinyin
289,國家,guójiā,3,country,"nation, state, CL:個|个[ge4]",
290,城市,chéngshì,3,city,"town, CL:座[zuo4]",Duplicate Pinyin
291,街,jiē,3,street,CL:條|条[tiao2],Duplicate Pinyin
292,電子郵件,diàn​zǐ​yóu​jiàn,3,email,"CL:封[feng1],份[fen4]",
293,結婚,jiéhūn,3,to marry,"to get married, CL:次[ci4]",
294,小時,xiǎoshí,3,hour,CL:個|个[ge4],
295,點鐘,diǎnzhōng,3,(indicating time of day) o'clock,,
296,分鐘,fēnzhōng,3,minute,,
297,夏天,xiàtiān,3,summer,CL:個|个[ge4],
298,冬天,dōngtiān,3,winter,CL:個|个[ge4],
299,秋天,qiūtiān,3,autumn,CL:個|个[ge4],
300,春天,chūntiān,3,spring (season),CL:個|个[ge4],
301,年輕,niánqīng,3,young,,
302,男生,nánshēng,3,schoolboy,"male student, boy, guy (young adult male)",
303,女生,nǚshēng,3,schoolgirl,"female student, girl",
304,小孩,xiǎohái,3,child,CL:個|个[ge4],
305,家人,jiārén,3,household,(one's) family,Duplicate Pinyin
306,緊張,jǐnzhāng,3,nervous,"keyed up, intense, tense, strained, in short supply, scarce, CL:陣|阵[zhen4]",
307,可愛,kěài,3,adorable,"cute, lovely",
308,胖,pàng,3,healthy,"at ease, fat, plump",
